,Country,Year,PPP,Happiness,Lat,Lon
0,Afghanistan,2018,2082.635648,2.694,33.93911,67.709953
1,Albania,2018,13554.89895,5.004,41.153332,20.168331
2,Algeria,2018,11909.92982,5.043,28.033886,1.659626
3,Angola,2014,8179.297828,3.795,-11.202692,17.873887
4,Argentina,2018,23293.39863,5.793,-38.416097,-63.616672
5,Armenia,2018,13020.39632,5.062,40.069099,45.038189
6,Australia,2018,50100.22467,7.177,-25.274398,133.775136
7,Austria,2018,57059.53894,7.396,47.516231,14.550072
8,Azerbaijan,2018,14550.76282,5.168,40.143105,47.576927
9,Bahrain,2017,47709.77802,6.227,25.930414,50.637772
10,Bangladesh,2018,4547.480016,4.499,23.684994,90.356331
11,Belarus,2018,19430.27877,5.234,53.709807,27.953389
12,Belgium,2018,52623.55967,6.892,50.503887,4.469936
13,Belize,2014,7190.086108,5.956,17.189877,-88.49765
14,Benin,2018,3236.670417,5.82,9.30769,2.315834
15,Bhutan,2015,9500.650716,5.082,27.514162,90.433601
16,Bolivia,2018,8863.349161,5.916,-16.290154,-63.588653
17,Bosnia and Herzegovina,2018,14916.78501,5.887,43.915886,17.679076
18,Botswana,2018,16611.90439,3.461,-22.328474,24.684866
19,Brazil,2018,15020.43822,6.191,-14.235004,-51.92528
20,Bulgaria,2018,22957.40013,5.099,42.733883,25.48583
21,Burkina Faso,2018,2168.662213,4.927,12.238333,-1.561593
22,Burundi,2018,779.8081757,3.775,-3.373056,29.918886
23,Cambodia,2018,4259.203119,5.122,12.565679,104.990963
24,Cameroon,2018,3800.971267,5.251,7.369722,12.354722
25,Canada,2018,50239.99105,7.175,56.130366,-106.346771
26,Central African Republic,2017,912.8030453,3.476,6.611111,20.939444
27,Chad,2018,1614.168287,4.486,15.454166,18.732207
28,Chile,2018,24740.49615,6.436,-35.675147,-71.542969
29,China,2018,15497.35999,5.131,35.86166,104.195397
30,Colombia,2018,14865.89324,5.984,4.570868,-74.297333
31,Comoros,2018,3146.901748,3.973,-11.875001,43.872219
32,Costa Rica,2018,21022.76519,7.141,9.748917,-83.753428
33,Croatia,2018,28960.38457,5.536,45.1,15.2
34,Cyprus,2018,40476.38627,6.276,35.126413,33.429859
35,Czech Republic,2018,41134.08988,7.034,49.817492,15.472962
36,Denmark,2018,57456.61183,7.649,56.26392,9.501785
37,Dominican Republic,2018,18137.0524,5.433,18.735693,-70.162651
38,Ecuador,2018,11839.34324,6.128,-1.831239,-78.183406
39,El Salvador,2018,8822.550774,6.276,13.794185,-88.89653
40,Estonia,2018,36158.81965,6.091,58.595272,25.013607
41,Ethiopia,2018,2154.020877,4.379,9.145,40.489673
42,Finland,2018,49706.59709,7.858,61.92411,25.748151
43,France,2018,46620.68448,6.666,46.227638,2.213749
44,Gabon,2018,15097.69165,4.783,-0.803689,11.609444
45,Georgia,2018,14595.63064,4.659,42.315407,43.356892
46,Germany,2018,55142.31878,7.118,51.165691,10.451526
47,Ghana,2017,5115.90675,5.481,7.946527,-1.023194
48,Greece,2018,29652.93088,5.409,39.074208,21.824312
49,Guatemala,2018,8665.347261,6.627,15.783471,-90.230759
50,Guinea,2018,2559.724766,5.252,9.945587,-9.696645
51,Guyana,2007,8219.836737,5.993,4.860416,-58.93018
52,Haiti,2018,3241.303269,3.615,18.971187,-72.285215
53,Honduras,2018,5816.747324,5.908,15.199999,-86.241905
54,Hungary,2017,29501.12042,6.065,47.162494,19.503304
55,Iceland,2017,55638.49206,7.476,64.963051,-19.020835
56,India,2018,6675.361294,3.818,20.593684,78.96288
57,Indonesia,2018,11644.75854,5.34,-0.789275,113.921327
58,Iraq,2017,10526.37091,4.462,33.223191,43.679291
59,Ireland,2018,84665.60623,6.962,53.41291,-8.24389
60,Israel,2018,40690.01183,6.927,31.046051,34.851612
