United Kingdom,United States,Year
1.899261982,0.618121193,1961
0.248518863,4.480669354,1962
4.09246874,2.908271948,1963
4.849644927,4.340548963,1964
1.488048483,5.07809761,1965
1.014665361,5.277113858,1966
2.234412369,1.389951286,1967
4.929076844,3.758819368,1968
1.501172983,2.097369706,1969
5.894837292,-1.500876487,1970
3.07331424,1.995600248,1971
3.968556176,4.138096749,1972
6.318244977,4.642155759,1973
-2.545877184,-1.445134355,1974
-1.46633523,-1.184581411,1975
2.935589163,4.391462873,1976
2.491437803,3.577146706,1977
4.198675446,4.422984608,1978
3.65596566,2.033887068,1979
-2.148387264,-1.209298266,1980
-0.822285228,1.536320272,1981
2.031455683,-2.734569729,1982
4.186321252,3.631979305,1983
2.107380195,6.312167663,1984
3.911319176,3.250656415,1985
2.911710255,2.510885973,1986
5.168872171,2.538623532,1987
5.49788071,3.235416101,1988
2.310928689,2.698166682,1989
0.433081174,0.741486101,1990
-1.408485804,-1.434200121,1991
0.129933044,2.096612761,1992
2.2444106,1.405708556,1993
3.581967511,2.760882301,1994
2.26078359,1.468718237,1995
2.168064564,2.572259206,1996
4.63917671,3.13259495,1997
2.853813973,3.27052405,1998
2.647308136,3.557193086,1999
3.302607784,2.975208629,2000
1.680456503,0.003648976,2001
1.691811111,0.802103854,2002
2.551255625,1.980925835,2003
1.774937925,2.84268064,2004
1.891275729,2.563502409,2005
1.832826085,1.867955516,2006
1.476241412,0.911865594,2007
-1.021703087,-1.076700085,2008
-4.96888827,-3.387435662,2009
1.333971159,1.716400257,2010
0.667756093,0.815453101,2011
0.766760919,1.502187905,2012
1.209899645,1.138896602,2013
2.235458153,1.776837703,2014
1.812661638,2.319441456,2015
1.491364299,0.977012682,2016
1.442929368,1.687321406,2017
1.036855219,2.455679199,2018
1.099995912,1.697011299,2019
-10.20297123,-3.979552137,2020
