areaCode,areaName,areaType,date,newPeopleVaccinatedCompleteByVaccinationDate
E12000001,North East,region,2021-10-02,1490
E12000001,North East,region,2021-10-01,1261
E12000001,North East,region,2021-09-30,1610
E12000001,North East,region,2021-09-29,1310
E12000001,North East,region,2021-09-28,1111
E12000001,North East,region,2021-09-27,821
E12000001,North East,region,2021-09-26,1173
E12000001,North East,region,2021-09-25,1794
E12000001,North East,region,2021-09-24,1714
E12000001,North East,region,2021-09-23,2205
E12000001,North East,region,2021-09-22,2384
E12000001,North East,region,2021-09-21,1435
E12000001,North East,region,2021-09-20,1533
E12000001,North East,region,2021-09-19,2087
E12000001,North East,region,2021-09-18,3444
E12000001,North East,region,2021-09-17,3272
E12000001,North East,region,2021-09-16,3108
E12000001,North East,region,2021-09-15,2833
E12000001,North East,region,2021-09-14,2682
E12000001,North East,region,2021-09-13,2417
E12000001,North East,region,2021-09-12,3165
E12000001,North East,region,2021-09-11,4181
E12000001,North East,region,2021-09-10,4075
E12000001,North East,region,2021-09-09,5049
E12000001,North East,region,2021-09-08,3763
E12000001,North East,region,2021-09-07,3005
E12000001,North East,region,2021-09-06,2732
E12000001,North East,region,2021-09-05,3736
E12000001,North East,region,2021-09-04,4913
E12000001,North East,region,2021-09-03,5253
E12000001,North East,region,2021-09-02,5816
E12000001,North East,region,2021-09-01,5060
E12000001,North East,region,2021-08-31,4607
E12000001,North East,region,2021-08-30,2673
E12000001,North East,region,2021-08-29,3719
E12000001,North East,region,2021-08-28,4618
E12000001,North East,region,2021-08-27,5312
E12000001,North East,region,2021-08-26,5673
E12000001,North East,region,2021-08-25,6743
E12000001,North East,region,2021-08-24,5189
E12000001,North East,region,2021-08-23,4391
E12000001,North East,region,2021-08-22,5105
E12000001,North East,region,2021-08-21,7514
E12000001,North East,region,2021-08-20,5667
E12000001,North East,region,2021-08-19,5986
E12000001,North East,region,2021-08-18,6804
E12000001,North East,region,2021-08-17,5063
E12000001,North East,region,2021-08-16,4480
E12000001,North East,region,2021-08-15,5506
E12000001,North East,region,2021-08-14,7152
E12000001,North East,region,2021-08-13,7395
E12000001,North East,region,2021-08-12,7354
E12000001,North East,region,2021-08-11,6108
E12000001,North East,region,2021-08-10,4476
E12000001,North East,region,2021-08-09,3321
E12000001,North East,region,2021-08-08,5271
E12000001,North East,region,2021-08-07,7618
E12000001,North East,region,2021-08-06,6024
E12000001,North East,region,2021-08-05,7361
E12000001,North East,region,2021-08-04,5890
E12000001,North East,region,2021-08-03,4418
E12000001,North East,region,2021-08-02,2983
E12000001,North East,region,2021-08-01,4082
E12000001,North East,region,2021-07-31,7903
E12000001,North East,region,2021-07-30,5679
E12000001,North East,region,2021-07-29,6651
E12000001,North East,region,2021-07-28,7021
E12000001,North East,region,2021-07-27,3911
E12000001,North East,region,2021-07-26,3028
E12000001,North East,region,2021-07-25,4436
E12000001,North East,region,2021-07-24,6566
E12000001,North East,region,2021-07-23,5790
E12000001,North East,region,2021-07-22,6973
E12000001,North East,region,2021-07-21,6234
E12000001,North East,region,2021-07-20,4055
E12000001,North East,region,2021-07-19,3314
E12000001,North East,region,2021-07-18,5406
E12000001,North East,region,2021-07-17,6567
E12000001,North East,region,2021-07-16,6705
E12000001,North East,region,2021-07-15,7179
E12000001,North East,region,2021-07-14,5360
E12000001,North East,region,2021-07-13,4491
E12000001,North East,region,2021-07-12,3114
E12000001,North East,region,2021-07-11,4962
E12000001,North East,region,2021-07-10,8694
E12000001,North East,region,2021-07-09,7783
E12000001,North East,region,2021-07-08,6580
E12000001,North East,region,2021-07-07,6108
E12000001,North East,region,2021-07-06,4046
E12000001,North East,region,2021-07-05,3307
E12000001,North East,region,2021-07-04,4608
E12000001,North East,region,2021-07-03,6296
E12000001,North East,region,2021-07-02,6493
E12000001,North East,region,2021-07-01,7100
E12000001,North East,region,2021-06-30,5958
E12000001,North East,region,2021-06-29,5165
E12000001,North East,region,2021-06-28,4148
E12000001,North East,region,2021-06-27,5641
E12000001,North East,region,2021-06-26,7582
E12000001,North East,region,2021-06-25,8631
E12000001,North East,region,2021-06-24,6411
E12000001,North East,region,2021-06-23,7456
E12000001,North East,region,2021-06-22,6884
E12000001,North East,region,2021-06-21,3878
E12000001,North East,region,2021-06-20,5398
E12000001,North East,region,2021-06-19,11131
E12000001,North East,region,2021-06-18,9556
E12000001,North East,region,2021-06-17,8367
E12000001,North East,region,2021-06-16,7569
E12000001,North East,region,2021-06-15,8604
E12000001,North East,region,2021-06-14,7149
E12000001,North East,region,2021-06-13,11278
E12000001,North East,region,2021-06-12,13132
E12000001,North East,region,2021-06-11,12399
E12000001,North East,region,2021-06-10,14503
E12000001,North East,region,2021-06-09,11205
E12000001,North East,region,2021-06-08,13398
E12000001,North East,region,2021-06-07,8939
E12000001,North East,region,2021-06-06,13078
E12000001,North East,region,2021-06-05,27051
E12000001,North East,region,2021-06-04,18702
E12000001,North East,region,2021-06-03,14473
E12000001,North East,region,2021-06-02,11589
E12000001,North East,region,2021-06-01,12284
E12000001,North East,region,2021-05-31,5174
E12000001,North East,region,2021-05-30,14705
