,date,total
0,2021-11-01,447401
1,2021-10-01,481306
2,2021-09-01,472474
3,2021-08-01,476677
4,2021-07-01,507306
5,2021-06-01,507554
6,2021-05-01,487396
7,2021-04-01,473444
8,2021-03-01,514214
9,2021-02-01,429943
10,2021-01-01,447087
11,2020-12-01,447607
12,2020-11-01,495991
13,2020-10-01,521801
14,2020-09-01,518728
15,2020-08-01,554519
16,2020-07-01,550844
17,2020-06-01,536417
18,2020-05-01,556463
19,2020-04-01,514036
20,2020-03-01,477632
21,2020-02-01,471303
22,2020-01-01,495064
23,2019-12-01,464823
24,2019-11-01,492868
25,2019-10-01,522349
26,2019-09-01,496394
27,2019-08-01,523739
28,2019-07-01,552537
29,2019-06-01,548246
30,2019-05-01,544175
31,2019-04-01,538159
32,2019-03-01,553854
33,2019-02-01,492870
34,2019-01-01,514225
35,2018-12-01,494042
36,2018-11-01,530631
37,2018-10-01,563753
38,2018-09-01,530603
39,2018-08-01,562594
40,2018-07-01,601822
41,2018-06-01,568998
42,2018-05-01,573145
43,2018-04-01,530767
44,2018-03-01,515425
45,2018-02-01,461555
46,2018-01-01,502025
47,2017-12-01,486964
48,2017-11-01,531456
49,2017-10-01,571943
50,2017-09-01,526136
51,2017-08-01,565483
52,2017-07-01,582854
53,2017-06-01,556853
54,2017-05-01,558516
55,2017-04-01,526841
56,2017-03-01,539812
57,2017-02-01,461217
58,2017-01-01,473934
59,2016-12-01,479451
60,2016-11-01,484269
61,2016-10-01,532459
62,2016-09-01,514523
63,2016-08-01,527529
64,2016-07-01,535885
65,2016-06-01,500746
66,2016-05-01,508967
67,2016-04-01,465219
68,2016-03-01,467957
69,2016-02-01,431868
70,2016-01-01,434439
71,2015-12-01,440450
72,2015-11-01,455176
73,2015-10-01,489649
74,2015-09-01,456704
75,2015-08-01,489594
76,2015-07-01,506878
77,2015-06-01,486666
78,2015-05-01,476032
79,2015-04-01,460749
80,2015-03-01,456514
81,2015-02-01,397712
82,2015-01-01,410498
83,2014-12-01,412292
84,2014-11-01,445881
85,2014-10-01,474070
86,2014-09-01,472866
87,2014-08-01,469868
88,2014-07-01,512623
89,2014-06-01,481565
90,2014-05-01,468751
91,2014-04-01,448733
92,2014-03-01,453983
93,2014-02-01,387018
94,2014-01-01,409579
95,2013-12-01,412841
96,2013-11-01,441684
97,2013-10-01,469974
98,2013-09-01,452121
99,2013-08-01,514460
100,2013-07-01,539981
101,2013-06-01,481801
102,2013-05-01,469564
103,2013-04-01,453226
104,2013-03-01,444024
105,2013-02-01,414304
106,2013-01-01,455526
107,2012-12-01,425502
108,2012-11-01,465691
109,2012-10-01,500622
110,2012-09-01,483564
111,2012-08-01,538655
112,2012-07-01,528382
113,2012-06-01,495873
114,2012-05-01,520116
115,2012-04-01,473406
116,2012-03-01,538534
117,2012-02-01,463643
118,2012-01-01,476678
119,2011-12-01,463857
120,2011-11-01,512750
121,2011-10-01,560899
122,2011-09-01,529653
123,2011-08-01,603786
124,2011-07-01,620138
125,2011-06-01,582808
126,2011-05-01,596076
127,2011-04-01,610989
128,2011-03-01,625368
129,2011-02-01,556370
130,2011-01-01,561265
131,2010-12-01,491730
