,country,happiness,lat,lon,year
0,Afghanistan,2.694,33.93911,67.709953,2018
1,Albania,5.004,41.153332,20.168331,2018
2,Algeria,5.043,28.033886,1.659626,2018
3,Angola,3.795,-11.202692,17.873887,2014
4,Argentina,5.793,-38.416097,-63.616672,2018
5,Armenia,5.062,40.069099,45.038189,2018
6,Australia,7.177,-25.274398,133.775136,2018
7,Austria,7.396,47.516231,14.550072,2018
8,Azerbaijan,5.168,40.143105,47.576927,2018
9,Bahrain,6.227,25.930414,50.637772,2017
10,Bangladesh,4.499,23.684994,90.356331,2018
11,Belarus,5.234,53.709807,27.953389,2018
12,Belgium,6.892,50.503887,4.469936,2018
13,Belize,5.956,17.189877,-88.49765,2014
14,Benin,5.82,9.30769,2.315834,2018
15,Bhutan,5.082,27.514162,90.433601,2015
16,Bolivia,5.916,-16.290154,-63.588653,2018
17,Bosnia and Herzegovina,5.887,43.915886,17.679076,2018
18,Botswana,3.461,-22.328474,24.684866,2018
19,Brazil,6.191,-14.235004,-51.92528,2018
20,Bulgaria,5.099,42.733883,25.48583,2018
21,Burkina Faso,4.927,12.238333,-1.561593,2018
22,Burundi,3.775,-3.373056,29.918886,2018
23,Cambodia,5.122,12.565679,104.990963,2018
24,Cameroon,5.251,7.369722,12.354722,2018
25,Canada,7.175,56.130366,-106.346771,2018
26,Central African Republic,3.476,6.611111,20.939444,2017
27,Chad,4.486,15.454166,18.732207,2018
28,Chile,6.436,-35.675147,-71.542969,2018
29,China,5.131,35.86166,104.195397,2018
30,Colombia,5.984,4.570868,-74.297333,2018
31,Comoros,3.973,-11.875001,43.872219,2018
32,Costa Rica,7.141,9.748917,-83.753428,2018
33,Croatia,5.536,45.1,15.2,2018
34,Cuba,5.418,21.521757,-77.781167,2006
35,Cyprus,6.276,35.126413,33.429859,2018
36,Czech Republic,7.034,49.817492,15.472962,2018
37,Denmark,7.649,56.26392,9.501785,2018
38,Djibouti,4.369,11.825138,42.590275,2011
39,Dominican Republic,5.433,18.735693,-70.162651,2018
40,Ecuador,6.128,-1.831239,-78.183406,2018
41,Egypt,4.005,26.820553,30.802498,2018
42,El Salvador,6.276,13.794185,-88.89653,2018
43,Estonia,6.091,58.595272,25.013607,2018
44,Ethiopia,4.379,9.145,40.489673,2018
45,Finland,7.858,61.92411,25.748151,2018
46,France,6.666,46.227638,2.213749,2018
47,Gabon,4.783,-0.803689,11.609444,2018
48,Gambia,4.922,13.443182,-15.310139,2018
49,Georgia,4.659,42.315407,43.356892,2018
50,Germany,7.118,51.165691,10.451526,2018
51,Ghana,5.481,7.946527,-1.023194,2017
52,Greece,5.409,39.074208,21.824312,2018
53,Guatemala,6.627,15.783471,-90.230759,2018
54,Guinea,5.252,9.945587,-9.696645,2018
55,Guyana,5.993,4.860416,-58.93018,2007
56,Haiti,3.615,18.971187,-72.285215,2018
57,Honduras,5.908,15.199999,-86.241905,2018
58,Hungary,6.065,47.162494,19.503304,2017
59,Iceland,7.476,64.963051,-19.020835,2017
60,India,3.818,20.593684,78.96288,2018
61,Indonesia,5.34,-0.789275,113.921327,2018
62,Iran,4.278,32.427908,53.688046,2018
63,Iraq,4.462,33.223191,43.679291,2017
64,Ireland,6.962,53.41291,-8.24389,2018
65,Israel,6.927,31.046051,34.851612,2018
66,Italy,6.517,41.87194,12.56738,2018
67,Jamaica,5.89,18.109581,-77.297508,2017
68,Japan,5.794,36.204824,138.252924,2018
69,Jordan,4.639,30.585164,36.238414,2018
70,Kazakhstan,6.008,48.019573,66.923684,2018
71,Kenya,4.656,-0.023559,37.906193,2018
72,Kosovo,6.392,42.602636,20.902977,2018
73,Kuwait,6.094,29.31166,47.481766,2017
74,Kyrgyzstan,5.297,41.20438,74.766098,2018
75,Laos,4.859,19.85627,102.495496,2018
76,Latvia,5.901,56.879635,24.603189,2018
77,Lebanon,5.167,33.854721,35.862285,2018
78,Lesotho,3.795,-29.609988,28.233608,2017
79,Liberia,4.135,6.428055,-9.429499,2018
80,Libya,5.494,26.3351,17.228331,2018
81,Lithuania,6.309,55.169438,23.881275,2018
82,Luxembourg,7.243,49.815273,6.129583,2018
83,Madagascar,4.071,-18.766947,46.869107,2018
84,Malawi,3.335,-13.254308,34.301525,2018
85,Malaysia,5.339,4.210484,101.975766,2018
86,Mali,4.416,17.570692,-3.996166,2018
87,Malta,6.91,35.937496,14.375416,2018
88,Mauritania,4.314,21.00789,-10.940835,2018
89,Mauritius,5.882,-20.348404,57.552152,2018
90,Mexico,6.55,23.634501,-102.552784,2018
91,Moldova,5.682,47.411631,28.369885,2018
92,Mongolia,5.465,46.862496,103.846656,2018
93,Montenegro,5.65,42.708678,19.37439,2018
94,Morocco,4.897,31.791702,-7.09262,2018
95,Mozambique,4.654,-18.665695,35.529562,2018
96,Namibia,4.834,-22.95764,18.49041,2018
97,Nepal,4.91,28.394857,84.124008,2018
98,Netherlands,7.463,52.132633,5.291266,2018
99,New Zealand,7.37,-40.900557,174.885971,2018
100,Nicaragua,5.819,12.865416,-85.207229,2018
101,Niger,5.164,17.607789,8.081666,2018
102,Nigeria,5.252,9.081999,8.675277,2018
103,Norway,7.444,60.472024,8.468946,2018
104,Oman,6.853,21.512583,55.923255,2011
105,Pakistan,5.472,30.375321,69.345116,2018
106,Palestinian Territories,4.554,31.952162,35.233154,2018
107,Panama,6.281,8.537981,-80.782127,2018
108,Paraguay,5.713,-23.442503,-58.443832,2017
109,Peru,5.68,-9.189967,-75.015152,2018
110,Philippines,5.869,12.879721,121.774017,2018
111,Poland,6.201,51.919438,19.145136,2017
112,Portugal,5.92,39.399872,-8.224454,2018
113,Qatar,6.375,25.354826,51.183884,2015
114,Romania,6.151,45.943161,24.96676,2018
115,Russia,5.514,61.52401,105.318756,2018
116,Rwanda,3.561,-1.940278,29.873888,2018
117,Saudi Arabia,6.356,23.885942,45.079162,2018
118,Senegal,4.769,14.497401,-14.452362,2018
119,Serbia,5.936,44.016521,21.005859,2018
120,Sierra Leone,4.306,8.460555,-11.779889,2018
121,Singapore,6.375,1.352083,103.819836,2018
122,Slovakia,6.235,48.669026,19.699024,2018
123,Slovenia,6.249,46.151241,14.995463,2018
124,Somalia,4.668,5.152149,46.199616,2016
125,South Africa,4.884,-30.559482,22.937506,2018
126,South Korea,5.84,35.907757,127.766922,2018
127,Spain,6.513,40.463667,-3.74922,2018
128,Sri Lanka,4.4,7.873054,80.771797,2018
129,Sudan,4.139,12.862807,30.217636,2014
130,Suriname,6.269,3.919305,-56.027783,2012
131,Swaziland,4.212,-26.522503,31.465866,2018
132,Sweden,7.375,60.128161,18.643501,2018
133,Switzerland,7.509,46.818188,8.227512,2018
134,Syria,3.462,34.802075,38.996815,2015
135,Tajikistan,5.829,38.861034,71.276093,2017
136,Tanzania,3.445,-6.369028,34.888822,2018
137,Thailand,6.012,15.870032,100.992541,2018
138,Togo,4.023,8.619543,0.824782,2018
139,Trinidad and Tobago,6.192,10.691803,-61.222503,2017
140,Tunisia,4.741,33.886917,9.537499,2018
141,Turkey,5.186,38.963745,35.243322,2018
142,Turkmenistan,4.621,38.969719,59.556278,2018
143,Uganda,4.322,1.373333,32.290275,2018
144,Ukraine,4.662,48.379433,31.16558,2018
145,United Arab Emirates,6.604,23.424076,53.847818,2018
146,United Kingdom,7.233,55.378051,-3.435973,2018
147,United States,6.883,37.09024,-95.712891,2018
148,Uruguay,6.372,-32.522779,-55.765835,2018
149,Uzbekistan,6.205,41.377491,64.585262,2018
150,Venezuela,5.006,6.42375,-66.58973,2018
151,Vietnam,5.296,14.058324,108.277199,2018
152,Yemen,3.058,15.552727,48.516388,2018
153,Zambia,4.041,-13.133897,27.849332,2018
